QueryTaxID,TaxID,Rank,ScientificName
10579,10579,serotype,Human papillomavirus type 8
10579,10239,superkingdom,Viruses
10579,2731342,clade,Monodnaviria
10579,2732092,kingdom,Shotokuvirae
10579,2732415,phylum,Cossaviricota
10579,2732421,class,Papovaviricetes
10579,2732533,order,Zurhausenvirales
10579,151340,family,Papillomaviridae
10579,2169595,subfamily,Firstpapillomavirinae
10579,333922,genus,Betapapillomavirus
10579,337051,species,Betapapillomavirus 1
QueryTaxID,TaxID,Rank,ScientificName
10580,10580,serotype,human papillomavirus 11
10580,10239,superkingdom,Viruses
10580,2731342,clade,Monodnaviria
10580,2732092,kingdom,Shotokuvirae
10580,2732415,phylum,Cossaviricota
10580,2732421,class,Papovaviricetes
10580,2732533,order,Zurhausenvirales
10580,151340,family,Papillomaviridae
10580,2169595,subfamily,Firstpapillomavirinae
10580,333750,genus,Alphapapillomavirus
10580,333754,species,Alphapapillomavirus 10
QueryTaxID,TaxID,Rank,ScientificName
10583,10583,serotype,Human papillomavirus type 1a
10583,10239,superkingdom,Viruses
10583,2731342,clade,Monodnaviria
10583,2732092,kingdom,Shotokuvirae
10583,2732415,phylum,Cossaviricota
10583,2732421,class,Papovaviricetes
10583,2732533,order,Zurhausenvirales
10583,151340,family,Papillomaviridae
10583,2169595,subfamily,Firstpapillomavirinae
10583,334202,genus,Mupapillomavirus
10583,334203,species,Mupapillomavirus 1
QueryTaxID,TaxID,Rank,ScientificName
10584,10584,serotype,Human papillomavirus type 2a
10584,10239,superkingdom,Viruses
10584,2731342,clade,Monodnaviria
10584,2732092,kingdom,Shotokuvirae
10584,2732415,phylum,Cossaviricota
10584,2732421,class,Papovaviricetes
10584,2732533,order,Zurhausenvirales
10584,151340,family,Papillomaviridae
10584,2169595,subfamily,Firstpapillomavirinae
10584,333750,genus,Alphapapillomavirus
10584,337043,species,Alphapapillomavirus 4
QueryTaxID,TaxID,Rank,ScientificName
10585,10585,serotype,human papillomavirus 31
10585,10239,superkingdom,Viruses
10585,2731342,clade,Monodnaviria
10585,2732092,kingdom,Shotokuvirae
10585,2732415,phylum,Cossaviricota
10585,2732421,class,Papovaviricetes
10585,2732533,order,Zurhausenvirales
10585,151340,family,Papillomaviridae
10585,2169595,subfamily,Firstpapillomavirinae
10585,333750,genus,Alphapapillomavirus
10585,337041,species,Alphapapillomavirus 9
QueryTaxID,TaxID,Rank,ScientificName
10586,10586,serotype,human papillomavirus 33
10586,10239,superkingdom,Viruses
